"","x"
"478",81.26
"479",80.02
"480",78.89
"481",77.34
"482",77.31
"483",77.41
"484",77.89
"485",74.41
"486",74.32
"487",73.65
"488",72.23
"489",74.12
"490",75.03
"491",74.99
"492",74.06
"493",74.2
"494",74.75
"495",74.8
"496",74.86
"497",76.73
"498",77.59
"499",78.51
"500",77.83
